D,AGE,CH4
956.885,29354.5,391.7
956.915,29358,392
956.965,29363.9,411.3
957.905,29449.4,397.3
957.935,29452.1,388.7
957.975,29455.7,382.2
958.97,29549,398
959,29551.9,392
959.925,29650.9,385
959.955,29654.1,397
961.905,29840.3,397.7
961.975,29847.2,386.8
963.905,29961.5,393
963.975,29969.7,388
965.955,30220.8,401
965.985,30224.2,401
967.955,30410.2,395.3
967.985,30412.9,415
968.905,30546.4,396.7
968.935,30550.8,411.7
968.975,30556.6,399.9
971.905,30875.4,402.7
971.935,30878.1,421.7
971.975,30881.7,406.7
973.985,31067.4,391
975.985,31274,399
977.775,31443,397.1
978.905,31573.5,425.7
978.975,31581.4,408.7
981.985,31863.1,410
982.985,31974.6,425
985.905,32279.6,474
985.935,32283.1,465.3
985.975,32287.8,473
986.905,32378.5,490.7
986.935,32381.4,482
986.975,32385.3,484.7
987.955,32483.8,497
987.985,32486.8,512
990.985,32712.4,415
993.905,32980.1,410.3
993.975,32986,411.9
996.975,33275.2,483.8
997.985,33375.3,439
999.985,33603.2,485
1001.9,33731.5,494.7
1001.93,33732.6,488.3
1001.98,33734,486.2
1003.3,33819.7,484.3
1003.34,33822,436
1003.58,33840.3,468.3
1005.28,33961.6,426.7
1005.98,34039.6,426
1009.62,34357.3,429
1009.67,34363,421
1009.98,34391.1,422.3
1011.01,34456.2,434.7
1011.04,34458.5,437
1011.08,34460.8,424
1011.11,34463.2,436
1013.28,34673,453
1013.98,34739.8,435.2
1015.3,34844.8,499
1015.34,34847.4,498
1015.58,34867.9,507.6
1017.62,35061.8,534
1017.64,35065.1,515
1017.67,35068.3,527.3
1017.98,35101.1,526.4
1021.28,35328.3,535.3
1021.98,35364.3,569.1
1023.01,35461.4,518.3
1023.04,35462.7,538
1023.08,35464,531
1023.11,35465.4,543.7
1023.58,35485.8,517.3
1025.62,35640.2,440.3
1025.97,35669.2,415.1
1027.31,35758.3,426.3
1027.34,35761.1,431.7
1027.58,35783.4,422.6
1029.28,35915.6,437.3
1029.97,35947.6,420
1033.62,36245.5,437.7
1033.64,36246.8,433.3
1033.97,36260.8,427.6
1035.02,36358.9,448.3
1035.05,36361.5,452
1035.08,36364,444
1035.58,36406,443.5
1037.28,36535,458.3
1037.97,36606.3,448.2
1039.31,36721.2,508.7
1039.58,36745.9,498.7
1041.62,36891.7,536.3
1041.97,36919.3,509.6
1045.28,37187,545.7
1045.97,37258.1,566.3
1047.02,37315.3,582.7
1047.05,37317.2,566
1047.58,37350.1,558.7
1049.62,37533,578.3
1049.97,37564.3,563.7
1051.31,37670.6,565
1051.53,37682.8,567.6
1053.28,37805.1,564
1053.31,37807.1,560
1053.97,37850.1,544.5
1057.62,38108.9,568
1057.97,38130.4,569.9
1059.02,38183.1,496.7
1059.05,38184.6,501
1059.58,38211.3,448.3
1061.97,38382.6,432.4
1063.53,38501.7,449.5
1065.62,38656.9,447
1065.97,38692.8,443.7
1069.97,38953.8,421.4
1071.02,39031.7,436.7
1071.05,39033.6,445
1071.08,39035.6,439
1073.62,39194.3,447.7
1073.64,39196.7,437
1073.97,39223.8,439.3
1075.58,39332.4,439.3
1077.97,39525.3,408
1081.62,39850.1,424.3
1081.97,39887.3,411.1
1083.02,39978.7,431.3
1083.05,39981.8,434
1083.08,39984.9,462
1083.58,40036.6,449.9
1085.97,40191.8,434.5
1087.58,40313.8,417.5
1089.62,40466.5,414.7
1089.97,40491.8,410.2
1093.97,40803.3,426.7
1095.02,40893,452
1095.05,40896.4,460
1095.08,40899.8,458
1095.58,40956.4,459
1097.62,41146.5,496.3
1097.64,41148.8,477
1097.67,41151.1,481
1097.97,41174.3,469.9
1099.02,41280.3,416.3
1099.58,41322.1,406.5
1105.97,41808,400.5
1107.02,41893.5,412.7
1107.05,41896.6,409
1111.58,42320.7,428.8
